Date,vehicle_class,Adjusted_Quota,Adj_Prem
1/1/2010,Category A,1151.5,19501.5
1/1/2010,Category B,702,20795
1/1/2010,Category C,177,19545.5
1/1/2010,Category E,587,20894
1/2/2010,Category A,1151,20164.5
1/2/2010,Category B,689,23534.5
1/2/2010,Category C,169,22445.5
1/2/2010,Category E,595.5,23315
1/3/2010,Category A,1147,24595.5
1/3/2010,Category B,699.5,31239
1/3/2010,Category C,168,29945.5
1/3/2010,Category E,585.5,34795.5
1/4/2010,Category A,705.5,32000.5
1/4/2010,Category B,566,42751
1/4/2010,Category C,191.5,36033.5
1/4/2010,Category E,381,46001.5
1/5/2010,Category A,752.5,26745.5
1/5/2010,Category B,555.5,36300
1/5/2010,Category C,182.5,30945
1/5/2010,Category E,385.5,39001
1/6/2010,Category A,702.5,30780.5
1/6/2010,Category B,555,39956.5
1/6/2010,Category C,180,30939
1/6/2010,Category E,361.5,41003
1/7/2010,Category A,699.5,32831.5
1/7/2010,Category B,554.5,39399
1/7/2010,Category C,180,30995
1/7/2010,Category E,381,42287.5
1/8/2010,Category A,614,30552
1/8/2010,Category B,480.5,43072
1/8/2010,Category C,205.5,30057
1/8/2010,Category E,312,43201
1/9/2010,Category A,614,31545
1/9/2010,Category B,483.5,43315
1/9/2010,Category C,205,32000.5
1/9/2010,Category E,309.5,43645.5
1/10/2010,Category A,624,32773.5
1/10/2010,Category B,479,43700.5
1/10/2010,Category C,214,30700
1/10/2010,Category E,311,44495
1/11/2010,Category A,597.5,36500.5
1/11/2010,Category B,481,46695.5
1/11/2010,Category C,205,31104
1/11/2010,Category E,324.5,47945.5
1/12/2010,Category A,607.5,46866.5
1/12/2010,Category B,489,67251.5
1/12/2010,Category C,208,32751
1/12/2010,Category E,312,70501
1/1/2011,Category A,610.5,39506
1/1/2011,Category B,482,63955
1/1/2011,Category C,206,32555.5
1/1/2011,Category E,314,71399
1/2/2011,Category A,517,40061.5
1/2/2011,Category B,427.5,57700
1/2/2011,Category C,281,28800
1/2/2011,Category E,334.5,60445.5
1/3/2011,Category A,529.5,43206.5
1/3/2011,Category B,424,59448
1/3/2011,Category C,278.5,29845.5
1/3/2011,Category E,333,60541.5
1/4/2011,Category A,538.5,43606
1/4/2011,Category B,424,55901
1/4/2011,Category C,276.5,26044.5
1/4/2011,Category E,335.5,56550.5
1/5/2011,Category A,517,45889.5
1/5/2011,Category B,431.5,56155.5
1/5/2011,Category C,280,22439
1/5/2011,Category E,330.5,56689.5
1/6/2011,Category A,511,51817
1/6/2011,Category B,423.5,65350
1/6/2011,Category C,277.5,30047.5
1/6/2011,Category E,338.5,63745
1/7/2011,Category A,512,55995.5
1/7/2011,Category B,440.5,70501
1/7/2011,Category C,280,33546
1/7/2011,Category E,353.5,71650.5
1/8/2011,Category A,561.5,49051
1/8/2011,Category B,353.5,68205.5
1/8/2011,Category C,243,33149
1/8/2011,Category E,348.5,68558.5
1/9/2011,Category A,548,49503
1/9/2011,Category B,356,63945.5
1/9/2011,Category C,246.5,30994.5
1/9/2011,Category E,331,64045.5
1/10/2011,Category A,557,53200.5
1/10/2011,Category B,354.5,69744.5
1/10/2011,Category C,246.5,34906
1/10/2011,Category E,330.5,69329
1/11/2011,Category A,553.5,55442
1/11/2011,Category B,354.5,77170
1/11/2011,Category C,250,40496
1/11/2011,Category E,342.5,76945
1/12/2011,Category A,557.5,51196.5
1/12/2011,Category B,361,71176.5
1/12/2011,Category C,245.5,39799
1/12/2011,Category E,341.5,72670
1/1/2012,Category A,605.5,47500.5
1/1/2012,Category B,354.5,66845
1/1/2012,Category C,241.5,41350
1/1/2012,Category E,362,66400.5
1/2/2012,Category A,621.5,54909
1/2/2012,Category B,350.5,76039.5
1/2/2012,Category C,163,50902.5
1/2/2012,Category E,313,75900.5
1/3/2012,Category A,651.5,56526
1/3/2012,Category B,353,80653.5
1/3/2012,Category C,168.5,50760
1/3/2012,Category E,318,78491
1/4/2012,Category A,633,61351
1/4/2012,Category B,350.5,87350
1/4/2012,Category C,161.5,55789
1/4/2012,Category E,308.5,88300
1/5/2012,Category A,635.5,60300.5
1/5/2012,Category B,351.5,88633
1/5/2012,Category C,160.5,57829.5
1/5/2012,Category E,316,87939.5
1/6/2012,Category A,650.5,59003.5
1/6/2012,Category B,349.5,84200
1/6/2012,Category C,160,54512
1/6/2012,Category E,316,85139
1/7/2012,Category A,658.5,64038.5
1/7/2012,Category B,355.5,86395
1/7/2012,Category C,163.5,55680.5
1/7/2012,Category E,311,89849.5
1/8/2012,Category A,410.5,70195
1/8/2012,Category B,350.5,91252
1/8/2012,Category C,182,58167.5
1/8/2012,Category E,253.5,94512
1/9/2012,Category A,400.5,65500
1/9/2012,Category B,353,84345.5
1/9/2012,Category C,182.5,57571.5
1/9/2012,Category E,248.5,88994.5
1/10/2012,Category A,397,70000.5
1/10/2012,Category B,351.5,82901
1/10/2012,Category C,183,56945
1/10/2012,Category E,246,86944.5
1/11/2012,Category A,395.5,77246
1/11/2012,Category B,350.5,92702
1/11/2012,Category C,180,59673
1/11/2012,Category E,251,93045
1/12/2012,Category A,395,80206
1/12/2012,Category B,355,91850.5
1/12/2012,Category C,181.5,62618
1/12/2012,Category E,248,96495
1/1/2013,Category A,409.5,91555
1/1/2013,Category B,357,95855.5
1/1/2013,Category C,188.5,58525.5
1/1/2013,Category E,253.5,96995
1/2/2013,Category A,334,82705
1/2/2013,Category B,302.5,92784
1/2/2013,Category C,227.5,54239
1/2/2013,Category E,239.5,93400
1/3/2013,Category A,336.5,69449
1/3/2013,Category B,316.5,65995
1/3/2013,Category C,225,54005.5
1/3/2013,Category E,267,69151
1/4/2013,Category A,337,61763
1/4/2013,Category B,306,64505
1/4/2013,Category C,226,57256.5
1/4/2013,Category E,242.5,64494.5
1/5/2013,Category A,334.5,63919
1/5/2013,Category B,324.5,64502
1/5/2013,Category C,229,56970
1/5/2013,Category E,245,64501
1/6/2013,Category A,341.5,68602
1/6/2013,Category B,303.5,78375.5
1/6/2013,Category C,227,58495
1/6/2013,Category E,245,79500.5
1/7/2013,Category A,336,73544.5
1/7/2013,Category B,317,76749.5
1/7/2013,Category C,229,63023.5
1/7/2013,Category E,264,76901
1/8/2013,Category A,369.5,75889.5
1/8/2013,Category B,377.5,77103.5
1/8/2013,Category C,260.5,69626
1/8/2013,Category E,264,78606
1/9/2013,Category A,368,80527.5
1/9/2013,Category B,379,81669.5
1/9/2013,Category C,260.5,75000
1/9/2013,Category E,262,83500.5
1/10/2013,Category A,369,80944.5
1/10/2013,Category B,379,90705
1/10/2013,Category C,262,72156
1/10/2013,Category E,305.5,93089
1/11/2013,Category A,366,73800
1/11/2013,Category B,377.5,81939
1/11/2013,Category C,257.5,55252.5
1/11/2013,Category E,269.5,86000.5
1/12/2013,Category A,365.5,73581
1/12/2013,Category B,375,74355
1/12/2013,Category C,260.5,49556.5
1/12/2013,Category E,266,77201
1/1/2014,Category A,366,72329.5
1/1/2014,Category B,389.5,78850
1/1/2014,Category C,261,49445
1/1/2014,Category E,261,78905
1/2/2014,Category A,362,74382.5
1/2/2014,Category B,357.5,76952
1/2/2014,Category C,272,51946
1/2/2014,Category E,200.5,78001.5
1/3/2014,Category A,363.5,77800.5
1/3/2014,Category B,351.5,81805
1/3/2014,Category C,265.5,55096.5
1/3/2014,Category E,193,83000.5
1/4/2014,Category A,364,74367.5
1/4/2014,Category B,357,79757
1/4/2014,Category C,268.5,41196.5
1/4/2014,Category E,195.5,78955
1/5/2014,Category A,511,62845.5
1/5/2014,Category B,483.5,69052.5
1/5/2014,Category C,390.5,38595
1/5/2014,Category E,294.5,66395.5
1/6/2014,Category A,508,62544.5
1/6/2014,Category B,492,66502
1/6/2014,Category C,388,42501
1/6/2014,Category E,297.5,66317.5
1/7/2014,Category A,511,62440
1/7/2014,Category B,495.5,64945
1/7/2014,Category C,391.5,47700
1/7/2014,Category E,306.5,64001.5
1/8/2014,Category A,574.5,65155
1/8/2014,Category B,506.5,70839.5
1/8/2014,Category C,262,53199.5
1/8/2014,Category E,243,70905.5
1/9/2014,Category A,572.5,63420.5
1/9/2014,Category B,510,72500
1/9/2014,Category C,259.5,49895
1/9/2014,Category E,248.5,74602
1/10/2014,Category A,573.5,63935
1/10/2014,Category B,506,72091
1/10/2014,Category C,263,59194.5
1/10/2014,Category E,243.5,72102
1/11/2014,Category A,702,66394.5
1/11/2014,Category B,572,71890
1/11/2014,Category C,142.5,64351
1/11/2014,Category E,267.5,72600
1/12/2014,Category A,707,66489
1/12/2014,Category B,581.5,74194.5
1/12/2014,Category C,145,56050.5
1/12/2014,Category E,264.5,75447
1/1/2015,Category A,704.5,65505.5
1/1/2015,Category B,573.5,76089
1/1/2015,Category C,148,55011.5
1/1/2015,Category E,268,75995
1/2/2015,Category A,990,59600.5
1/2/2015,Category B,723,68820.5
1/2/2015,Category C,185,52651.5
1/2/2015,Category E,187,69911
1/3/2015,Category A,987,63055
1/3/2015,Category B,723,70278.5
1/3/2015,Category C,185,58250
1/3/2015,Category E,174.5,71300
1/4/2015,Category A,987.5,67675
1/4/2015,Category B,725,77306.5
1/4/2015,Category C,191,58501
1/4/2015,Category E,181.5,78750
1/5/2015,Category A,1439,67589.5
1/5/2015,Category B,941,76301
1/5/2015,Category C,371.5,51049.5
1/5/2015,Category E,287.5,78002.5
1/6/2015,Category A,1430.5,63500
1/6/2015,Category B,928.5,73254.5
1/6/2015,Category C,372,50701
1/6/2015,Category E,272,75151
1/7/2015,Category A,1450.5,57294.5
1/7/2015,Category B,932,61805
1/7/2015,Category C,370.5,50001.5
1/7/2015,Category E,273,64551
1/8/2015,Category A,1722,56853.5
1/8/2015,Category B,1057.5,61464.5
1/8/2015,Category C,182.5,47901.5
1/8/2015,Category E,363,59443
1/9/2015,Category A,1687.5,56244
1/9/2015,Category B,1058.5,61051
1/9/2015,Category C,182,46045
1/9/2015,Category E,365.5,61155
1/10/2015,Category A,1688.5,56651
1/10/2015,Category B,1065,59039.5
1/10/2015,Category C,187,43596.5
1/10/2015,Category E,363.5,59400.5
1/11/2015,Category A,1663,57600.5
1/11/2015,Category B,1033,59302
1/11/2015,Category C,244,44849.5
1/11/2015,Category E,366,61354
1/12/2015,Category A,1683.5,55645
1/12/2015,Category B,1029,57501
1/12/2015,Category C,242.5,47051
1/12/2015,Category E,362,58752
1/1/2016,Category A,1659,48151.5
1/1/2016,Category B,1026.5,52504.5
1/1/2016,Category C,244,44269
1/1/2016,Category E,361,53044.5
1/2/2016,Category A,2043.5,44825.5
1/2/2016,Category B,1212,42790
1/2/2016,Category C,164.5,45018.5
1/2/2016,Category E,451,44505
1/3/2016,Category A,2043,45252
1/3/2016,Category B,1214.5,47053
1/3/2016,Category C,164.5,47696
1/3/2016,Category E,450.5,47334.5
1/4/2016,Category A,2083.5,46654.5
1/4/2016,Category B,1214.5,48301
1/4/2016,Category C,163.5,43607.5
1/4/2016,Category E,518,48505.5
1/5/2016,Category A,2217.5,47454.5
1/5/2016,Category B,1499.5,50083
1/5/2016,Category C,230.5,42652
1/5/2016,Category E,642,49350
1/6/2016,Category A,2235,54447
1/6/2016,Category B,1466.5,56505
1/6/2016,Category C,228,47218
1/6/2016,Category E,537,56245
1/7/2016,Category A,2247,52650.5
1/7/2016,Category B,1466,56798.5
1/7/2016,Category C,233.5,48889.5
1/7/2016,Category E,519,56751.5
1/8/2016,Category A,2026,52918.5
1/8/2016,Category B,1336,57201.5
1/8/2016,Category C,178.5,48151.5
1/8/2016,Category E,439.5,57578.5
1/9/2016,Category A,2037.5,50753
1/9/2016,Category B,1355,56251.5
1/9/2016,Category C,176,49845.5
1/9/2016,Category E,443.5,56045
1/10/2016,Category A,2043.5,51249
1/10/2016,Category B,1345,54705.5
1/10/2016,Category C,182,47145.5
1/10/2016,Category E,432.5,55270
1/11/2016,Category A,1887.5,51809.5
1/11/2016,Category B,1300.5,54603.5
1/11/2016,Category C,183.5,48501.5
1/11/2016,Category E,401,55450.5
1/12/2016,Category A,1844,48875.5
1/12/2016,Category B,1244.5,48669
1/12/2016,Category C,183.5,50354.5
1/12/2016,Category E,408.5,50199.5
1/1/2017,Category A,1861.5,50495
1/1/2017,Category B,1249,52956.5
1/1/2017,Category C,184.5,46651.5
1/1/2017,Category E,400.5,52800.5
1/2/2017,Category A,2096.5,48915.5
1/2/2017,Category B,1371.5,49415
1/2/2017,Category C,169,49355.5
1/2/2017,Category E,494,49778
1/3/2017,Category A,2078.5,51277
1/3/2017,Category B,1364,53650
1/3/2017,Category C,167,48019
1/3/2017,Category E,490.5,53751
1/4/2017,Category A,2060,51800
1/4/2017,Category B,1364.5,54405.5
1/4/2017,Category C,162.5,36203.5
1/4/2017,Category E,484,54586
1/5/2017,Category A,1912.5,48797.5
1/5/2017,Category B,1322.5,54207.5
1/5/2017,Category C,1084.5,28314.5
1/5/2017,Category E,530.5,53500
1/6/2017,Category A,1902,44001
1/6/2017,Category B,1323,48805.5
1/6/2017,Category C,1088.5,37690
1/6/2017,Category E,540.5,49263.5
1/7/2017,Category A,1905.5,43401.5
1/7/2017,Category B,1322,49901.5
1/7/2017,Category C,1086.5,41510.5
1/7/2017,Category E,545,50000
1/8/2017,Category A,1817,44839
1/8/2017,Category B,1289.5,52355.5
1/8/2017,Category C,449.5,42402.5
1/8/2017,Category E,566.5,51375.5
1/9/2017,Category A,1817.5,39451.5
1/9/2017,Category B,1289,49094.5
1/9/2017,Category C,453,44946
1/9/2017,Category E,554,48508.5
1/10/2017,Category A,1822,41689
1/10/2017,Category B,1285,49052.5
1/10/2017,Category C,468.5,50396
1/10/2017,Category E,541,50500
1/11/2017,Category A,1684.5,46951.5
1/11/2017,Category B,1379.5,57402
1/11/2017,Category C,243,57868.5
1/11/2017,Category E,520,57250.5
1/12/2017,Category A,1683.5,40269.5
1/12/2017,Category B,1374.5,50356.5
1/12/2017,Category C,265.5,43556
1/12/2017,Category E,536.5,51172.5
1/1/2018,Category A,1703,39145
1/1/2018,Category B,1377.5,43975
1/1/2018,Category C,253,39550.5
1/1/2018,Category E,516.5,45695
1/2/2018,Category A,1559.5,38405
1/2/2018,Category B,1393.5,40661
1/2/2018,Category C,253,37581
1/2/2018,Category E,576,39352
1/3/2018,Category A,1569.5,38415
1/3/2018,Category B,1396,38005.5
1/3/2018,Category C,247,35502
1/3/2018,Category E,571,38500
1/4/2018,Category A,1566,37755
1/4/2018,Category B,1403,37467.5
1/4/2018,Category C,276,34101.5
1/4/2018,Category E,592.5,38214
1/5/2018,Category A,1434.5,38471
1/5/2018,Category B,1281.5,38245
1/5/2018,Category C,346.5,31545.5
1/5/2018,Category E,561.5,38650
1/6/2018,Category A,1443.5,35268
1/6/2018,Category B,1304.5,34950
1/6/2018,Category C,366.5,30951.5
1/6/2018,Category E,570,35700
1/7/2018,Category A,1439,28849.5
1/7/2018,Category B,1286.5,31775.5
1/7/2018,Category C,316.5,30990.5
1/7/2018,Category E,574.5,31905
1/8/2018,Category A,1683.5,32897.5
1/8/2018,Category B,1268.5,33405
1/8/2018,Category C,394,30145.5
1/8/2018,Category E,531.5,32865.5
1/9/2018,Category A,1664,29104.5
1/9/2018,Category B,1276,31654
1/9/2018,Category C,464,27052.5
1/9/2018,Category E,535,31900.5
1/10/2018,Category A,1671,27006.5
1/10/2018,Category B,1272,31301.5
1/10/2018,Category C,346,29001
1/10/2018,Category E,550,32726
1/11/2018,Category A,1818.5,26599.5
1/11/2018,Category B,1253,31701.5
1/11/2018,Category C,331.5,28505
1/11/2018,Category E,554.5,31479.5
1/12/2018,Category A,1884,24534.5
1/12/2018,Category B,1241,31001
1/12/2018,Category C,331,27005
1/12/2018,Category E,548.5,31330
1/1/2019,Category A,1816.5,26045
1/1/2019,Category B,1244.5,33094.5
1/1/2019,Category C,337,26616
1/1/2019,Category E,543,33299
1/2/2019,Category A,1656,25995
1/2/2019,Category B,1208,34956
1/2/2019,Category C,316,26646
1/2/2019,Category E,405,35988.5
1/3/2019,Category A,1654.5,26484
1/3/2019,Category B,1217,38181
1/3/2019,Category C,305,27015.5
1/3/2019,Category E,402.5,39310
1/4/2019,Category A,1654.5,31179
1/4/2019,Category B,1203.5,45551
1/4/2019,Category C,306.5,29795
1/4/2019,Category E,399,50309.5
1/5/2019,Category A,1453,31852
1/5/2019,Category B,1151,45287
1/5/2019,Category C,401.5,27979.5
1/5/2019,Category E,383,49751
1/6/2019,Category A,1424,28504
1/6/2019,Category B,1140,37817
1/6/2019,Category C,391,25501.5
1/6/2019,Category E,380.5,40701
1/7/2019,Category A,1527,27628
1/7/2019,Category B,1142,36703
1/7/2019,Category C,391.5,24844
1/7/2019,Category E,377,38395
1/8/2019,Category A,1060.5,32321
1/8/2019,Category B,1046,39301.5
1/8/2019,Category C,287.5,27150.5
1/8/2019,Category E,360,40257
1/9/2019,Category A,1056,31771
1/9/2019,Category B,1045,36500.5
1/9/2019,Category C,292.5,25529
1/9/2019,Category E,362,38956
1/10/2019,Category A,1058.5,33155
1/10/2019,Category B,1046,41583
1/10/2019,Category C,285,26255
1/10/2019,Category E,366.5,41510.5
1/11/2019,Category A,1033,31000
1/11/2019,Category B,1018,39854.5
1/11/2019,Category C,320,24947
1/11/2019,Category E,386.5,40495
1/12/2019,Category A,1029.5,32949
1/12/2019,Category B,1014,36950
1/12/2019,Category C,318,23452
1/12/2019,Category E,384,38439
1/1/2020,Category A,1034.5,35165
1/1/2020,Category B,1017,37407
1/1/2020,Category C,325,24701.5
1/1/2020,Category E,386,37750
1/2/2020,Category A,982,31504.5
1/2/2020,Category B,985.5,31889.5
1/2/2020,Category C,333,25007
1/2/2020,Category E,331.5,34100.5
1/3/2020,Category A,980,31954.5
1/3/2020,Category B,989.5,31406.5
1/3/2020,Category C,381.5,23102
1/3/2020,Category E,332,32500
1/7/2020,Category A,1296.5,33109.5
1/7/2020,Category B,1315,35445
1/7/2020,Category C,489,24195
1/7/2020,Category E,446,34995
1/8/2020,Category A,1028,34355
1/8/2020,Category B,927.5,37952
1/8/2020,Category C,357.5,24553
1/8/2020,Category E,473,37306
1/9/2020,Category A,1034.5,38135
1/9/2020,Category B,908,41249.5
1/9/2020,Category C,352.5,27616.5
1/9/2020,Category E,470.5,40895.5
1/10/2020,Category A,914,36934
1/10/2020,Category B,799,40840
1/10/2020,Category C,316,33433.5
1/10/2020,Category E,428.5,40095
1/11/2020,Category A,969.5,36840
1/11/2020,Category B,1010,40050.5
1/11/2020,Category C,369.5,30918
1/11/2020,Category E,492,40501.5
1/12/2020,Category A,973.5,40635
1/12/2020,Category B,1022,47156
1/12/2020,Category C,368.5,34045
1/12/2020,Category E,467.5,47505
1/1/2021,Category A,964.5,42055
1/1/2021,Category B,1020.5,49550.5
1/1/2021,Category C,376.5,38449.5
1/1/2021,Category E,466.5,50694.5
1/2/2021,Category A,894,41500.5
1/2/2021,Category B,942.5,46396
1/2/2021,Category C,267.5,42945.5
1/2/2021,Category E,302,48642
1/3/2021,Category A,886.5,43292.5
1/3/2021,Category B,944,46001
1/3/2021,Category C,273.5,38551
1/3/2021,Category E,297,47403.5
1/4/2021,Category A,886.5,47620
1/4/2021,Category B,957,56749.5
1/4/2021,Category C,262.5,40067.5
1/4/2021,Category E,299.5,57150
1/5/2021,Category A,833.5,44901.5
1/5/2021,Category B,818,59045
1/5/2021,Category C,160.5,42351
1/5/2021,Category E,267,62501
1/6/2021,Category A,844,48165.5
1/6/2021,Category B,812,58070.5
1/6/2021,Category C,216.5,37001
1/6/2021,Category E,262,59556.5
1/7/2021,Category A,851.5,46005.5
1/7/2021,Category B,829.5,57800.5
1/7/2021,Category C,164,39211.5
1/7/2021,Category E,263,58850.5
1/8/2021,Category A,805.5,45939
1/8/2021,Category B,782.5,58501
1/8/2021,Category C,118,41299.5
1/8/2021,Category E,198.5,62250
1/9/2021,Category A,803.5,47500
1/9/2021,Category B,781.5,65455
1/9/2021,Category C,121,39500.5
1/9/2021,Category E,202,67351
1/10/2021,Category A,813.5,49855
1/10/2021,Category B,774,75205
1/10/2021,Category C,125.5,39695.5
1/10/2021,Category E,212,78878
1/11/2021,Category A,536.5,54355
1/11/2021,Category B,590.5,81201
1/11/2021,Category C,91.5,42751.5
1/11/2021,Category E,161.5,87000.5
1/12/2021,Category A,535,57905.5
1/12/2021,Category B,594,80695
1/12/2021,Category C,91.5,44500
1/12/2021,Category E,163,84444.5
1/1/2022,Category A,537,57748.5
1/1/2022,Category B,589.5,79850.5
1/1/2022,Category C,90.5,42600.5
1/1/2022,Category E,147,83206
1/2/2022,Category A,539,61880.5
1/2/2022,Category B,554.5,89846
1/2/2022,Category C,78,45251
1/2/2022,Category E,180,90051
1/3/2022,Category A,537,70028.5
1/3/2022,Category B,553,96889
1/3/2022,Category C,83.5,50196.5
1/3/2022,Category E,185,98950
1/4/2022,Category A,534,70847.5
1/4/2022,Category B,555,94195.5
1/4/2022,Category C,80.5,53451.5
1/4/2022,Category E,182,97900
1/5/2022,Category A,618.5,69451
1/5/2022,Category B,527.5,93989.5
1/5/2022,Category C,103.5,51195.5
1/5/2022,Category E,193,93506.5
